,date,hour,PM10,PM2.5,ozone,temperature,precipitation,windspeed,humidity,visibility,count,month,temp
0,2021-04-01,1,최상,상,0.002,13.1,0,1.4,49,2000,46,4,봄
1,2021-04-01,2,최상,상,0.003,12.4,0,2.1,53,2000,40,4,봄
2,2021-04-01,3,상,중,0.023,13.1,0,3.4,43,2000,31,4,봄
3,2021-04-01,4,중,중,0.028,13.0,0,3.1,44,2000,12,4,봄
4,2021-04-01,5,중,중,0.008,13.0,0,2.9,44,2000,30,4,봄
5,2021-04-01,6,상,중,0.009,12.6,0,3.0,45,2000,77,4,봄
6,2021-04-01,7,상,하,0.018,12.0,0,3.5,46,2000,171,4,봄
7,2021-04-01,8,상,하,0.027,14.0,0,3.5,43,2000,330,4,봄
8,2021-04-01,9,상,하,0.032,16.2,0,4.3,38,2000,218,4,봄
9,2021-04-01,10,상,하,0.033,18.2,0,3.7,31,2000,175,4,봄
10,2021-04-01,11,상,하,0.038,20.2,0,2.9,25,2000,247,4,봄
11,2021-04-01,12,상,하,0.042,21.7,0,3.2,21,2000,269,4,봄
12,2021-04-01,13,상,하,0.044,22.6,0,3.5,20,2000,289,4,봄
13,2021-04-01,14,최상,하,0.044,23.6,0,3.2,20,2000,265,4,봄
14,2021-04-01,15,상,하,0.045,23.2,0,3.6,19,2000,342,4,봄
15,2021-04-01,16,최상,하,0.045,23.5,0,3.0,20,2000,369,4,봄
16,2021-04-01,17,최상,중,0.043,23.0,0,3.6,22,2000,564,4,봄
17,2021-04-01,18,최상,상,0.039,22.3,0,2.4,24,2000,820,4,봄
18,2021-04-01,19,최상,중,0.037,20.6,0,4.6,25,2000,526,4,봄
19,2021-04-01,20,상,중,0.036,19.2,0,3.4,27,2000,435,4,봄
20,2021-04-01,21,최상,중,0.034,18.1,0,3.7,33,2000,396,4,봄
21,2021-04-01,22,최상,중,0.037,16.5,0,6.5,38,2000,307,4,봄
22,2021-04-01,23,최상,중,0.038,15.4,0,5.7,40,2000,157,4,봄
23,2021-04-02,0,최상,하,0.039,14.6,0,5.1,41,2000,85,4,봄
24,2021-04-02,1,최상,하,0.04,14.2,0,4.8,39,2000,48,4,봄
25,2021-04-02,2,최상,중,0.04,13.7,0,4.3,39,2000,17,4,봄
26,2021-04-02,3,최상,하,0.039,12.9,0,4.8,43,2000,20,4,봄
27,2021-04-02,4,최상,하,0.039,12.6,0,5.0,45,2000,12,4,봄
28,2021-04-02,5,최상,하,0.037,12.8,0,3.7,45,2000,24,4,봄
29,2021-04-02,6,최상,하,0.034,12.7,0,3.6,45,2000,72,4,봄
30,2021-04-02,7,상,하,0.032,12.9,0,4.0,44,2000,169,4,봄
31,2021-04-02,8,상,하,0.032,13.6,0,4.1,42,2000,336,4,봄
32,2021-04-02,9,상,하,0.035,15.4,0,4.9,38,2000,207,4,봄
33,2021-04-02,10,상,하,0.036,17.4,0,3.9,34,2000,211,4,봄
34,2021-04-02,11,상,하,0.037,18.9,0,3.9,29,2000,233,4,봄
35,2021-04-02,12,상,하,0.039,20.7,0,3.9,26,2000,289,4,봄
36,2021-04-02,13,상,하,0.041,21.6,0,2.8,26,2000,286,4,봄
37,2021-04-02,14,상,하,0.042,22.0,0,2.1,26,2000,314,4,봄
38,2021-04-02,15,상,중,0.042,22.9,0,1.6,26,2000,360,4,봄
39,2021-04-02,16,상,중,0.036,22.3,0,0.9,27,2000,392,4,봄
40,2021-04-02,17,최상,중,0.025,21.7,0,1.9,29,2000,507,4,봄
41,2021-04-02,18,최상,상,0.01,21.0,0,1.8,30,2000,582,4,봄
42,2021-04-02,19,최상,상,0.008,19.9,0,2.3,34,2000,411,4,봄
43,2021-04-02,20,최상,최상,0.015,19.4,0,2.9,35,2000,331,4,봄
44,2021-04-02,21,최상,상,0.009,19.0,0,0.8,36,2000,366,4,봄
45,2021-04-02,22,최상,최상,0.002,18.8,0,2.5,38,2000,344,4,봄
46,2021-04-02,23,최상,상,0.002,18.4,0,2.4,40,2000,183,4,봄
47,2021-04-03,0,최상,상,0.006,18.0,0,2.4,41,2000,126,4,봄
48,2021-04-03,1,최상,상,0.022,17.7,0,1.8,45,2000,62,4,봄
49,2021-04-03,2,최상,상,0.019,17.6,0,2.5,49,2000,58,4,봄
50,2021-04-03,3,최상,상,0.023,17.7,0,2.4,51,2000,38,4,봄
51,2021-04-03,4,최상,상,0.03,17.6,0,2.4,54,2000,18,4,봄
52,2021-04-03,5,최상,상,0.026,17.6,0,2.5,57,2000,12,4,봄
53,2021-04-03,6,최상,상,0.027,17.4,0,3.4,59,2000,25,4,봄
54,2021-04-03,7,최상,상,0.026,17.3,0,3.2,60,2000,43,4,봄
55,2021-04-03,8,최상,상,0.022,17.3,0,2.6,60,2000,62,4,봄
56,2021-04-03,9,최상,상,0.026,17.5,0,1.4,62,2000,45,4,봄
57,2021-04-03,10,최상,상,0.026,16.8,1,1.9,79,521,5,4,봄
58,2021-04-03,11,최상,중,0.018,15.8,1,2.2,89,206,1,4,봄
59,2021-04-03,12,상,중,0.021,14.9,1,2.9,94,165,2,4,봄
60,2021-04-03,13,하,하,0.021,14.8,1,2.1,94,386,2,4,봄
61,2021-04-03,14,하,하,0.017,14.5,1,3.7,96,285,3,4,봄
62,2021-04-03,15,최하,하,0.015,14.4,1,3.3,96,327,2,4,봄
